Tabela 01: Crimes contra os idosos (Lei 10.741/2003);;;;;
RANKING (2017);REGIรO ADMINISTRATIVA;jan/ago 2016;jan/ago 2017;VARIAวรO (%);VARIAวรO ABSOLUTA
1ช;GAMA;88;51;-42%;-37
2ช;BRASILIA;21;43;105%;22
3ช;CEILANDIA;27;42;56%;15
4ช;TAGUATINGA;23;30;30%;7
5ช;GUARA;17;15;;-2
6ช;SOBRADINHO;15;15;;0
7ช;AGUAS CLARAS;8;11;;3
8ช;SAMAMBAIA;11;11;;0
9ช;RECANTO DAS EMAS;1;9;;8
10ช;SANTA MARIA;23;8;;-15
11ช;VICENTE PIRES;7;8;;1
12ช;LAGO SUL;3;6;;3
13ช;PLANALTINA;6;5;;-1
14ช;RIACHO FUNDO;2;4;;2
15ช;SOBRADINHO 2;8;3;;-5
16ช;SUDOESTE;0;3;;3
17ช;ITAPOA;0;3;;3
18ช;BRAZLANDIA;1;3;;2
19ช;CRUZEIRO;5;3;;-2
20ช;ESTRUTURAL;3;2;;-1
21ช;SAO SEBASTIAO;4;2;;-2
22ช;LAGO NORTE;6;2;;-4
23ช;CANDANGOLANDIA;3;2;;-1
24ช;FERCAL;0;1;;1
25ช;NUCLEO BANDEIRANTE;4;1;;-3
26ช;RIACHO FUNDO 2;1;1;;0
27ช;SIA;1;0;;-1
28ช;PARANOA;1;0;;-1
29ช;JARDIM BOTANICO;0;0;;0
30ช;PARK WAY;1;0;;-1
31ช;VARJAO DO TORTO;0;0;;0
TOTAL;;290;284;-2,1%;-6
Fonte: Banco Millenium - COOAFESP/SGI/SSPDF;;;;;
